央视频道[1],#genre#
宁夏卫视,http://42.240.145.105:2003/zhao.php?id=宁夏卫视
内蒙古卫视,http://42.240.145.105:2003/zhao.php?id=内蒙古卫视
新疆卫视,http://42.240.145.105:2003/zhao.php?id=新疆卫视
西藏卫视,http://42.240.145.105:2003/zhao.php?id=西藏卫视



央视频道[4],#genre#

CCTV1,http://125.94.244.29:2101/1234.php?id=18&s=8
CCTV2,http://125.94.244.29:2101/1234.php?id=19&s=8
CCTV3,http://125.94.244.29:2101/1234.php?id=20&s=8
CCTV4,http://125.94.244.29:2101/1234.php?id=1&s=8
CCTV5,http://125.94.244.29:2101/1234.php?id=5&s=8
CCTV5+,http://125.94.244.29:2101/1234.php?id=22&s=8
CCTV6,http://125.94.244.29:2101/1234.php?id=6&s=8
CCTV7,http://125.94.244.29:2101/1234.php?id=7&s=8
CCTV8,http://125.94.244.29:2101/1234.php?id=8&s=8
CCTV9,http://125.94.244.29:2101/1234.php?id=9&s=8
CCTV10,http://125.94.244.29:2101/1234.php?id=10&s=8
CCTV11,http://125.94.244.29:2101/1234.php?id=11&s=8
CCTV12,http://125.94.244.29:2101/1234.php?id=12&s=8
CCTV13,http://125.94.244.29:2101/1234.php?id=13&s=8
CCTV14,http://125.94.244.29:2101/1234.php?id=14&s=8
CCTV15,http://125.94.244.29:2101/1234.php?id=15&s=8
CCTV16,http://125.94.244.29:2101/1234.php?id=16&s=8
CCTV17,http://125.94.244.29:2101/1234.php?id=17&s=8



卫视频道[4],#genre#

北京卫视,http://125.94.244.29:2101/1234.php?id=21&s=8
东方卫视,http://125.94.244.29:2101/1234.php?id=25&s=8
湖南卫视,http://125.94.244.29:2101/1234.php?id=23&s=8
浙江卫视,http://125.94.244.29:2101/1234.php?id=33&s=8
江苏卫视,http://125.94.244.29:2101/1234.php?id=30&s=8
广东卫视,http://125.94.244.29:2101/1234.php?id=2&s=8
山东卫视,http://125.94.244.29:2101/1234.php?id=40&s=8
辽宁卫视,http://125.94.244.29:2101/1234.php?id=44&s=8
湖北卫视,http://125.94.244.29:2101/1234.php?id=24&s=8
河北卫视,http://125.94.244.29:2101/1234.php?id=36&s=8
河南卫视,http://125.94.244.29:2101/1234.php?id=35&s=8
深圳卫视,http://125.94.244.29:2101/1234.php?id=3&s=8
天津卫视,http://125.94.244.29:2101/1234.php?id=28&s=8
重庆卫视,http://125.94.244.29:2101/1234.php?id=27&s=8
安徽卫视,http://125.94.244.29:2101/1234.php?id=32&s=8
东南卫视,http://125.94.244.29:2101/1234.php?id=26&s=8
山西卫视,http://125.94.244.29:2101/1234.php?id=41&s=8
陕西卫视,http://125.94.244.29:2101/1234.php?id=45&s=8
四川卫视,http://125.94.244.29:2101/1234.php?id=38&s=8
黑龙江卫视,http://125.94.244.29:2101/1234.php?id=46&s=8
吉林卫视,http://125.94.244.29:2101/1234.php?id=43&s=8
云南卫视,http://125.94.244.29:2101/1234.php?id=39&s=8
贵州卫视,http://125.94.244.29:2101/1234.php?id=37&s=8
广西卫视,http://125.94.244.29:2101/1234.php?id=29&s=8
江西卫视,http://125.94.244.29:2101/1234.php?id=31&s=8
海南卫视,http://125.94.244.29:2101/1234.php?id=34&s=8
甘肃卫视,http://125.94.244.29:2101/1234.php?id=42&s=8
青海卫视,http://125.94.244.29:2101/1234.php?id=49&s=8
宁夏卫视,http://125.94.244.29:2101/1234.php?id=50&s=8
内蒙古卫视,http://125.94.244.29:2101/1234.php?id=47&s=8
新疆卫视,http://125.94.244.29:2101/1234.php?id=46&s=6
西藏卫视,http://125.94.244.29:2101/1234.php?id=48&s=8
大湾区卫视,http://125.94.244.29:2101/1234.php?id=4&s=8



央视备用[1],#genre#

CCTV1,http://m.061899.xyz/mg/cctv1
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV5,http://m.061899.xyz/mg/cctv5
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,http://m.061899.xyz/mg/cctv16
CCTV17,http://m.061899.xyz/mg/cctv17



卫视备用[1],#genre#

北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古视,http://m.061899.xyz/mg/nmgws
黑龙江视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
北京体育,http://m.061899.xyz/mg/bjty
北京新闻,http://m.061899.xyz/mg/bjxw
北京财经,http://m.061899.xyz/mg/bjcj
北京文艺,http://m.061899.xyz/mg/bjwy
北京生活,http://m.061899.xyz/mg/bjsh
北京少儿,http://m.061899.xyz/mg/bjkk
北京影视,http://m.061899.xyz/mg/bjys
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
红色轮播,http://m.061899.xyz/mg/hslb
金色剧场,http://m.061899.xyz/mg/jsjc
乡村振兴,http://m.061899.xyz/mg/xczx
重温经典,http://8.138.7.223/tv/cwjd.php



央视备用[2],#genre#

CCTV1,http://j.s.bkpcp.top/jj/cctv1
CCTV2,http://j.s.bkpcp.top/jj/cctv2
CCTV3,http://j.s.bkpcp.top/jj/cctv3
CCTV4,http://j.s.bkpcp.top/jj/cctv4
CCTV5,http://j.s.bkpcp.top/jj/cctv5
CCTV5+,http://j.s.bkpcp.top/jj/cctv5p
CCTV6,http://j.s.bkpcp.top/jj/cctv6
CCTV7,http://j.s.bkpcp.top/jj/cctv7
CCTV8,http://j.s.bkpcp.top/jj/cctv8
CCTV9,http://j.s.bkpcp.top/jj/cctv9
CCTV10,http://j.s.bkpcp.top/jj/cctv10
CCTV11,http://j.s.bkpcp.top/jj/cctv11
CCTV12,http://j.s.bkpcp.top/jj/cctv12
CCTV13,http://j.s.bkpcp.top/jj/cctv13
CCTV14,http://j.s.bkpcp.top/jj/cctv14
CCTV15,http://j.s.bkpcp.top/jj/cctv15
CCTV16,http://j.s.bkpcp.top/jj/cctv16
CCTV17,http://j.s.bkpcp.top/jj/cctv17
CCTV4欧洲,http://j.s.bkpcp.top/jj/cctv4o
CCTV4美洲,http://j.s.bkpcp.top/jj/cctv4m
CGTN-西,http://j.s.bkpcp.top/jj/cgtne
CGTN-阿,http://j.s.bkpcp.top/jj/cgtna
CGTN-法,http://j.s.bkpcp.top/jj/cgtnf



卫视备用[2],#genre#

北京卫视,http://j.s.bkpcp.top/jj/bjws
东方卫视,http://j.s.bkpcp.top/jj/dfws
浙江卫视,http://j.s.bkpcp.top/jj/zjws
江苏卫视,http://j.s.bkpcp.top/jj/jsws
湖南卫视,http://j.s.bkpcp.top/jj/hunws
广东卫视,http://j.s.bkpcp.top/jj/gdws
深圳卫视4k,http://j.s.bkpcp.top/jj/szws
山东卫视,http://j.s.bkpcp.top/jj/sdws
河南卫视,http://j.s.bkpcp.top/jj/hnws
江西卫视,http://j.s.bkpcp.top/jj/jxws
湖北卫视,http://j.s.bkpcp.top/jj/hubws
海南卫视,http://j.s.bkpcp.top/jj/hinws
陕西卫视,http://j.s.bkpcp.top/jj/sxws
兵团卫视,http://j.s.bkpcp.top/jj/btws
黑龙江视,http://j.s.bkpcp.top/jj/hljws



央视备用[3],#genre#

CCTV1,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV2,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV3,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV4,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV5,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV5+,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV6,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV7,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV8,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV9,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV10,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV11,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV12,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV13,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV14,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV15,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV16,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV17,http://t.061899.xyz/tl/tl.php?id=cctv17



卫视备用[3],#genre#

北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
