央视,#genre#
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8$移动
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8$移动
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8$移动
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8$移动
CCTV6,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8$移动
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8$移动
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8$移动
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8$移动
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8$移动
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8$移动
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8$移动
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8$移动
地方,#genre#
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039$安徽联通专用
湖南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000195$安徽联通专用
江苏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000198$安徽联通专用
浙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000265$安徽联通专用
北京卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000194$安徽联通专用
东方卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000263$安徽联通专用
广东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000445$安徽联通专用
深圳卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000197$安徽联通专用
山东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000470$安徽联通专用
河北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000575$安徽联通专用
湖北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000267$安徽联通专用
天津卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000266$安徽联通专用
海南卫视,http://10.255.126.3:8006/AHBKLIVE/12000000000000000000000000000003$安徽联通专用
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000588$安徽联通专用
贵州卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000577$安徽联通专用
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/20210203000000000000000000000033$安徽联通专用
黑龙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000196$安徽联通专用
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/12000000000000000000000000000001$安徽联通专用
辽宁卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000472$安徽联通专用
四川卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000069$安徽联通专用
重庆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000083$安徽联通专用
河南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000085$安徽联通专用
广西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000086$安徽联通专用
江西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000065$安徽联通专用
山西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000099$安徽联通专用
陕西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000090$安徽联通专用
厦门卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000244$安徽联通专用
海南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000088$安徽联通专用
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000075$安徽联通专用
云南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000060$安徽联通专用
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000094$安徽联通专用
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000082$安徽联通专用
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000091$安徽联通专用
青海卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000096$安徽联通专用
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000097$安徽联通专用
内蒙古卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000098$安徽联通专用
西藏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000100$安徽联通专用
兵团卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000462$安徽联通专用
三沙卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000589$安徽联通专用

北京卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225796/1.m3u8$IPV6
湖南卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8$IPV6
东方卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225797/1.m3u8$IPV6
四川卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8$IPV6
天津卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204/1.m3u8$IPV6
安徽卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226196/1.m3u8$IPV6
山东卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8$IPV6
广东卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8$IPV6
江苏卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8$IPV6
厦门卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8$IPV6

北京卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225931/index.m3u8$IPV6
北京卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8$IPV6
东方卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8$IPV6
东方卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225942/index.m3u8$IPV6
湖南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226000/index.m3u8$IPV6
吉林卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226013/index.m3u8$IPV6
吉林卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225981/index.m3u8$IPV6
江苏卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225938/index.m3u8$IPV6
江苏卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225929/index.m3u8$IPV6
江苏卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8$IPV6
浙江卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$IPV6
浙江卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225959/index.m3u8$IPV6
东南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226038/index.m3u8$IPV6
东南卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8$IPV6
东南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225950/index.m3u8$IPV6
广东卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225966/index.m3u8$IPV6
广东卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$IPV6
湖北卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225975/index.m3u8$IPV6
湖北卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226015/index.m3u8$IPV6
海南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225978/index.m3u8$IPV6
河北卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225961/index.m3u8$IPV6
河北卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225991/index.m3u8$IPV6
河南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226023/index.m3u8$IPV6
河南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225988/index.m3u8$IPV6
河南卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8$IPV6
黑龙江卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225985/index.m3u8$IPV6
黑龙江卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$IPV6
黑龙江卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226006/index.m3u8$IPV6
安徽卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$IPV6
安徽卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225925/index.m3u8$IPV6
贵州卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226030/index.m3u8$IPV6
贵州卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225974/index.m3u8$IPV6
贵州卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8$IPV6
江西卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225935/index.m3u8$IPV6
江西卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8$IPV6
山东卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225952/index.m3u8$IPV6
山东卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8$IPV6
山西卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226009/index.m3u8$IPV6
陕西卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225989/index.m3u8$IPV6
深圳卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225997/index.m3u8$IPV6
深圳卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8$IPV6
深圳卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225943/index.m3u8$IPV6
四川卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225970/index.m3u8$IPV6
四川卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8$IPV6
天津卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225972/index.m3u8$IPV6
天津卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8$IPV6
重庆卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225963/index.m3u8$IPV6
重庆卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$IPV6
安徽卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001298/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$IPV6
安徽卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001283/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$IPV6
安徽卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001346/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$IPV6
北京卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001335/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$IPV6
东方卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001336/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$IPV6
广东卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001337/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$IPV6

云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8$官方1
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8$官方1
